Number,Address,Bedrooms,Baths,SquareFeet,YearBuilt,YearSold,CostPerSqFt,SalePrice
433,1205 Bliss St ,4,1.5,1572,1966,2008,104.96,165000
434,1209 Elm St ,3,1.5,1748,1920,2008,94.39,165000
435,1709 10th Avenue ,3,1.5,1552,1964,2008,106.89,165900
436,1925 Manor Cir ,4,2.75,1224,1977,2009,136.85,167500
437,1515 Spencer St ,4,2.5,2236,1955,2009,75.13,168000
438,1835 Sunset St ,3,1.75,1268,1990,2008,138.01,175000
439,1611 Summer St ,3,2,1656,1996,2008,107.19,177500
440,81 Fore Season Dr ,4,2.75,1332,1986,2009,143.39,191000
441,1124 Elm St ,4,1.5,2518,1905,2008,81.41,205000
442,2003 Spencer St ,4,3.5,2940,1994,2008,70.07,206000
443,1907 Spring Street ,4,3,1581,1993,2008,135.2,213750
444,1116 Main St ,4,2.5,2804,1901,2008,80.24,225000
445,2024 Reed St ,5,3.5,2020,1997,2008,111.39,225000
446,316 Bailey Street ,5,2.75,1622,2006,2009,138.72,225000
447,1500 Michael Ave ,4,3.5,2179,2005,2008,106.47,232000
448,2 15th Avenue Ct ,4,2.5,2068,1978,2008,113.64,235000
449,1410 Elm St ,0,3,3034,1910,2008,78.44,238000
450,1840 Sunset ,5,3.5,2854,1980,2008,87.07,248500
451,1332 Elm St ,3,2,2991,1900,2008,84.25,252000
452,1934 Reed St ,5,3,3658,2003,2008,69.71,255000
453,2019 Reed St ,3,2,1904,2007,2008,141.75,269900
454,1923 Prairie St ,3,2.5,2326,2000,2008,124.25,289000
455,1922 Prairie St ,5,3.5,3386,1996,2008,88.16,298500
456,2007 Reed St ,5,3,2144,2000,2008,165.58,355000
457,1900 Manor Dr ,6,3,3360,1969,2008,116.82,392500
458,124 360th Ave ,3,3.5,3894,2001,2008,109.14,425000
459,511 2nd Ave. ,2,1,840,1900,2009,30.95,26000
460,535 Main St ,2,1,1040,1942,2010,45.19,47000
461,310 2nd Ave ,2,1,1098,1900,2009,42.81,47000
462,1220 Garfield Ave ,2,1,784,1961,2009,66.33,52000
463,1121 Prince St ,3,1,1196,1912,2009,43.48,52000
464,728 Summer St. ,3,1,1167,1900,2009,49.27,57500
465,911 Summer St ,2,0.75,676,1900,2009,90.98,61500
466,1228 Spencer St ,4,1,1056,1958,2009,67.52,71300
467,1328 West St ,4,2,1333,1900,2010,54.76,73000
468,1807 6th Ave ,3,1.75,1690,1900,2009,44.38,75000
469,523 Center St ,3,1,962,1978,2010,77.96,75000
470,629 High St ,2,1,1052,1900,2009,75.1,79000
471,1009 Pearl St ,2,1,768,1962,2009,104.17,80000
472,803 6th St ,1,1.75,1246,1954,2009,67.42,84000
473,1517 Prairie St ,2,1,856,1961,2009,99.3,85000
474,1111 Spring St ,5,1.5,1436,1900,2009,61.98,89000
475,605 Center ,2,1,924,1963,2009,96.32,89000
476,1120 West St ,3,2,1799,1900,2009,49.47,89000
477,1508 Summer St ,2,1.75,960,1953,2009,93.75,90000
478,1935 Manor Cir ,3,1.5,1222,1966,2010,74.47,91000
479,1527 9th Ave ,2,1,1224,1958,2009,75.16,92000
480,1313 Spring St ,3,1,1102,1954,2009,83.94,92500
481,915 East St ,4,1,1742,1900,2009,53.1,92500
482,421 Main St ,3,1.5,1424,1900,2009,66.01,94000
483,2007 Spring St ,3,1.75,1164,1982,2009,81.19,94500
484,531 10th Ave ,2,1,1042,1930,2009,91.17,95000
485,1811 8th Avenue ,2,1.75,976,1957,2009,100.92,98500
486,328 East St ,3,1,1040,1964,2010,98.08,102000
487,1414 9th Avenue Lane ,3,1.5,976,1969,2009,110.66,108000
488,1534 Spencer St ,3,1.75,1352,1900,2009,80.62,109000
489,1010 Pearl St ,4,1.75,1673,1900,2009,65.75,110000
490,1203 Spencer St ,4,1.75,1338,1955,2009,82.21,110000
491,406 Hamilton Ave ,3,1.75,1040,1967,2009,105.77,110000
492,318 East ,3,1.5,1488,1972,2009,74.6,111000
493,1522 3rd Ave ,3,1,1040,1963,2010,106.73,111000
494,1310 Spring St ,3,1,1050,1957,2009,109.43,114900
495,33 Fore Seasons Dr ,3,3.5,1890,1977,2009,60.85,115000
496,508 12th Ave ,3,1,1040,1966,2009,111.06,115500
497,439 12th Ave ,3,1,1040,1966,2009,113.46,118000
498,1312 Summer St ,3,2,1196,1977,2009,99.5,119000
499,1129 Ann St ,3,1,1183,1949,2009,103.89,122900
500,1220 6th Ave ,4,2,1776,1900,2009,70.59,125375
501,3 Melrose Ln ,3,2,1152,2000,2009,110.24,127000
502,1611 Spencer St ,2,1.75,1382,1959,2009,92.62,128000
503,1325 4th Avenue ,3,1.75,1991,1888,2009,65.29,130000
504,511 10th Ave ,3,1.75,1172,1940,2009,110.92,130000
505,665 420th Ave ,3,1.75,1440,1976,2009,90.8,130750
506,1310 Main Street ,3,1.5,1904,1907,2009,69.85,133000
507,1420 9th Ave Lane ,3,2.5,1632,1970,2009,82.72,135000
508,1513 Davis ,2,0.75,1144,1900,2010,21.85,25000
509,721 Center St ,3,1,1527,1900,2010,17.03,26000
510,1211 Hamlin ,2,1,1152,1986,2010,23.52,27100
511,514 Spring St ,3,1,820,1962,2011,45.12,37000
512,818 Summer St ,3,2,1546,1900,2010,35.09,54250
513,1425 5th Ave. ,2,1,1128,1900,2011,48.76,55000
514,1600 Summer St ,2,1,1080,1950,2010,50.93,55000
515,820 Elm St ,3,1.5,1034,1900,2010,60.44,62500
516,1125 Spring St ,3,1,866,1982,2010,75.06,65000
517,615 High ,2,1,1515,1900,2010,44.88,68000
518,1029 Pearl St ,3,1.5,1223,1900,2011,57.15,69900
519,621 1st Ave ,2,1.5,1158,1968,2010,60.45,70000
520,1303 Prairie St ,2,1.25,1148,1945,2010,60.98,70000
521,1402 Elm St ,0,0,1042,1900,2011,71.98,75000
522,1533 Prairie St ,3,1,1299,1972,2010,57.74,75000
523,421 1st Ave W ,4,1.75,1708,1900,2011,45.08,77000
524,1322 Spring St ,2,1,1240,1900,2011,66.13,82000
525,511 Center St ,3,1.25,856,1963,2010,96.85,82900
526,1825 6th Ave ,4,2.5,2000,1920,2011,41.5,83000
527,810 Elm St ,2,2,1033,1900,2010,83.25,86000
528,924 Pearl St ,3,1.75,1565,1900,2010,58.15,91000
529,608 Washington Ave ,3,1,942,1964,2010,96.6,91000
530,710 East St ,3,1.75,1459,1940,2010,67.85,99000
531,1839 4th Ave ,3,1.75,960,1963,2011,108.85,104500
532,1812 10th Ave. Place ,3,1.75,1064,1963,2010,100.56,107000
533,307 East St. ,4,1.5,1440,1900,2010,76.04,109500
534,827 High Street ,2,1,1186,1949,2010,94.01,111500
535,1827 Prairie St ,3,2,986,1974,2010,113.59,112000
536,303 East St ,3,1.5,1200,1959,2010,95,114000
537,1835 9th Ave ,2,1.25,960,1956,2010,120.31,115500
538,611 Pearl Street ,3,1.5,880,1982,2010,133.52,117500
539,1611 10th Ave ,3,1.75,1078,1958,2010,110.39,119000
540,918 Reed St ,4,1,1540,1900,2010,79.61,122600
541,605 10th Ave ,3,1.5,1922,1900,2010,64,123000
542,933 Prairie St ,3,2,2127,1967,2010,58.77,125000
543,538 10th Ave ,3,1.5,1456,1900,2010,86.06,125300
544,1604 Reed St ,3,1.5,1328,1967,2011,96.39,128000
545,926 Prairie St ,4,1.75,1440,1966,2010,90.28,130000
546,1317 Spring St ,3,1.75,1541,1956,2011,85.66,132000
547,1328 Reed St ,3,1.75,1348,1956,2011,100.15,135000
548,511 10th Ave ,3,1.75,1172,1940,2010,116.89,137000
549,1315 Penrose ,4,2,1520,1971,2010,90.46,137500
550,1521 8th Ave ,4,1.75,2236,1943,2010,61.67,137900
551,1409 Michael Ave ,4,2.75,1896,2000,2010,74.1,140500
552,1312 Summer St ,3,1.75,1196,1977,2011,121.24,145000
553,1710 10th Ave ,4,2.5,1700,1963,2010,91.18,155000
554,1326 Elm St ,4,1.75,1136,1900,2010,140.85,160000
555,1426 Elm St ,4,2.5,2092,1946,2010,76.48,160000
556,1205 Bliss St ,4,1.5,1572,1966,2010,110.37,173500
557,1310 East St ,5,1.75,3047,1951,2011,59.07,180000
558,408 15th Ave ,4,2.5,1768,1978,2010,103.51,183000
559,7 College Park ,3,2.5,1768,1955,2010,104.64,185000
560,1820 Manor Dr ,3,3.5,1416,1966,2010,130.65,185000
561,1820 Manor Dr ,3,3.5,1416,1966,2010,130.65,185000
562,4 Hobart St ,5,3,1680,1999,2010,114.88,193000
563,515 9th Ave ,5,2.75,2546,1954,2010,77.57,197500
564,1505 Park St ,5,2.5,2620,1900,2011,89.69,235000
565,5 College Park Rd ,3,2,1556,1956,2010,165.81,258000
566,803 10th Ave ,4,2.5,2478,1917,2010,113.4,281000
567,1417 Michael Avenue ,4,3,2905,2003,2010,101.38,294500
568,2115 Country Club Dr ,3,2.5,2094,1964,2010,150.43,315000
569,1405 West St ,3,1,1349,1900,2012,18.53,25000
570,602 Main St ,4,1,1506,1900,2012,18.59,28000
571,1220 Spencer St ,2,1,664,1955,2011,56.48,37500
572,609 8th Ave. ,3,1.75,1352,1900,2011,28.33,38300
573,812 1st Ave ,3,1,1063,1900,2011,37.63,40000
574,1426 Prince St ,2,1,768,1955,2011,84.64,65000
575,1207 West St ,2,1,972,1955,2011,69.96,68000
576,1533 Prairie St ,3,1,1299,1972,2011,56.2,73000
577,325 East ,3,2,1840,1900,2011,46.2,85000
578,1830 4th Ave ,3,1.75,1040,1957,2011,81.73,85000
579,1121 Prairie St ,3,1.5,1472,1900,2011,61.14,90000
580,517 8th Ave ,2,1.75,1302,1956,2011,69.89,91000
581,512 10th Ave ,2,1,1200,1921,2011,79.58,95500
582,1211 Hamlin ,2,1.5,1152,1986,2011,84.2,97000
583,1528 10th ave ,4,1.75,1632,1900,2012,59.74,97500
584,498 390th Ave ,0,0,0,1900,2011,0,100000
585,1703 7th Ave ,2,1,1050,1956,2011,95.24,100000
586,1806 West St ,3,2,1144,1978,2011,95.28,109000
587,1831 4th Ave ,4,1.75,988,1967,2011,116.4,115000
588,15173 Highway F-17 Ea,3,1.75,964,1978,2011,119.81,115500
589,1 Shoreline Dr ,3,1.75,1412,1994,2011,83.22,117500
590,411 320th Ave ,4,2,2040,2005,2011,58.82,120000
591,1018 East St ,5,1.75,1860,1926,2012,64.52,120000
592,914 East St ,3,1.75,1192,1966,2011,102.35,122000
593,1030 East St ,4,2.5,1616,1900,2012,75.8,122500
594,1822 Belmont ,3,1.75,1232,1961,2012,103.9,128000
595,1812 West St ,5,1.75,1192,1979,2011,107.38,128000
596,1821 Spencer St ,3,1.75,1092,1969,2011,118.13,129000
597,1426 West St ,4,2,2418,1906,2012,53.76,130000
598,1611 10th Ave ,3,1.75,1078,1958,2011,123.84,133500
599,404 5th Ave ,3,2,2247,1900,2012,60.08,135000
600,1617 West St ,3,1.75,1556,1966,2011,86.76,135000
601,711 16th Ave #105 ,2,2,1407,2004,2011,97.73,137500
602,1622 Spencer St ,3,1.5,1314,1961,2011,105.4,138500
603,1703 Manor Dr ,3,1.5,1266,1958,2011,110.58,140000
604,1625 10th Ave Place ,3,1.75,1316,1959,2012,107.14,141000
605,1711 Spencer St. ,4,2.75,1408,1960,2011,106.46,149900
606,1227 Broad St ,3,1.75,1962,1950,2011,76.86,150800
607,2 Spring Cir ,3,2.5,1928,1976,2011,80.39,155000
608,1629 Park St ,3,1.75,1344,1958,2011,115.33,155000
609,1708 3rd Ave ,4,1.5,2168,1900,2011,71.96,156000
610,1822 Spring St ,3,2,1552,1975,2011,107.6,167000
611,1619 10th Ave ,3,1.75,1662,1958,2011,101.08,168000
612,1827 Reed St ,4,2.5,1824,1973,2011,92.65,169000
613,1521 Reed St ,4,1.75,1921,1900,2011,88.5,170000
614,1114 Elm St ,0,0,1818,1900,2012,99.01,180000
615,532 12th Ave ,3,2.5,1974,1976,2011,93.72,185000
616,1764 Hwy T-38 N-120 ,3,1.75,1586,2001,2011,119.48,189500
617,1811 Sunset St ,4,2.75,2768,1971,2012,70.45,195000
618,1321 Main St ,5,2.5,2930,1906,2011,68.26,200000
619,1125 Summer St ,4,1.75,2349,1900,2011,85.14,200000
620,2000 Country Club Dr ,4,3,1412,1968,2011,143.77,203000
621,1833 6th Ave ,5,2.5,2508,1900,2011,82.54,207000
622,1833 6th Ave ,5,2.5,2508,1900,2011,82.54,207000
623,1304 Michael Ave ,4,2.75,2341,2000,2011,89.71,210000
624,405 16th Ave ,0,0,0,1987,2011,0,210000
625,1925 Manor Cir ,5,2.75,2364,1977,2011,90.52,214000
626,1910 Spring Street ,3,1.75,1564,1991,2011,147.06,230000
627,5 Parkview Dr ,4,3,1528,1994,2011,150.52,230000
628,604 Vanhorn Cir ,0,0,0,1992,2012,0,235000
629,5 Fore Seasons Dr ,3,1.75,2581,1973,2012,94.92,245000
630,601 Van Horne Cir ,3,3,1484,1997,2011,168.4,249900
631,57 Fore Seasons Dr ,4,2.75,3264,1981,2011,78.09,254900
632,1909 Reed St ,3,3,4240,2001,2012,70.17,297500
633,1526 Main St ,4,2.5,3244,1992,2011,98.64,320000
634,124 360th Ave ,3,3.5,3894,2001,2012,84.75,330000
635,2001 Reed St ,5,3,2243,2000,2011,148.02,332000
636,429 6th Ave ,3,1.75,1220,1900,2012,11.48,14000
637,519 Broad ,4,1,1992,1900,2012,7.53,15000
638,1424 3rd Ave ,4,1,2494,1914,2012,14.43,36000
639,1016-1016 1/2 Pearl St ,2,2,1350,1900,2012,27.7,37400
640,822 Center St ,1,0.75,1092,1900,2012,34.8,38000
641,903 East St ,3,2,2226,1900,2013,17.97,40000
642,524 Main St ,4,1,1460,1900,2012,28.22,41200
643,1019 Spring St ,2,1.75,1280,1900,2012,37.5,48000
644,515 Broad St ,3,2,1423,1900,2012,36.19,51502
645,333 Park St ,2,1,1201,1900,2012,48.29,58000
646,1406 Spring St ,2,1,918,1947,2013,65.36,60000
647,1311 Davis Ave ,4,1.5,1420,1900,2012,42.96,61000
648,1327 Spencer St ,2,1,1176,1955,2012,53.15,62500
649,929-931 Spring St ,5,2,1541,1900,2012,42.5,65500
650,601 10th Ave ,2,1,982,1949,2013,67.21,66000
651,8 Washington Place ,2,1.75,0,1988,2013,0,69900
652,320 8th Ave ,5,3.5,3158,1900,2012,22.17,70000
653,1721 10th Avenue Place,3,1.75,1140,1960,2012,62.46,71200
654,1711 9th Ave ,3,1.75,1056,1958,2012,69.6,73500
655,9111 Center St. ,3,1,1746,1907,2012,42.96,75000
656,1413 8th Ave ,3,1.5,1013,1900,2012,74.04,75000
657,1314 Main St ,3,1.5,1366,1900,2013,56.3,76900
658,1019 Spring St ,3,1.75,1280,1900,2012,60.82,77850
659,1117 Ann St ,2,2,1052,1955,2012,74.14,78000
660,428 8th Ave ,3,1,962,1955,2012,83.16,80000
661,804 Summer St ,3,1,1344,1900,2012,64.36,86500
662,226 Pearl ,3,2,1782,1993,2013,49.38,88000
663,621 Pearl St ,3,1.75,1178,1977,2012,75.55,89000
664,1827 6th Ave ,4,1.5,1652,1900,2012,56.6,93500
665,610 5th Ave ,5,2.75,2146,1900,2012,44.27,95000
666,1846 5th Ave ,3,1.75,1030,1965,2013,92.23,95000
667,620 State St ,3,1.75,1299,1900,2012,77.75,101000
668,1834 4th Ave ,3,2,984,1957,2012,104.37,102700
669,515 Marvin Ave ,3,2,1568,1993,2012,66.65,104500
670,1417 Prince St ,4,1.25,1032,1962,2012,104.65,108000
671,606 Prairie St ,3,1.5,952,1964,2012,115.55,110000
672,117 8th Ave ,2,1.75,1144,1958,2012,96.15,110000
673,518 11th Ave ,3,1,1266,1982,2012,90.05,114000
674,1609 9th Ave ,3,1.25,1196,1956,2012,95.53,114250
675,565 320th Ave ,3,1,1984,1880,2012,57.91,114900
676,6830 E 152nd St S ,3,1.75,1687,1900,2012,68.17,115000
677,611 6th Ave W ,3,1,1422,1959,2012,80.87,115000
678,1735 10th Ave ,4,2,1900,1900,2012,60.53,115000
679,521 Harrison Ave ,3,1.75,1040,1999,2012,111.54,116000
680,1705 Spencer St. ,3,1.75,1040,1964,2013,112.98,117500
681,1010 Pearl St ,4,2,1673,1900,2012,71.13,119000
682,1533 Reed ,3,1,1344,1900,2012,88.79,119340
683,1321 Patricia Ave ,2,1,1219,2003,2012,98.44,120000
684,615 Harrison ,4,1.75,1259,1999,2012,95.31,120000
685,1305 Penrose ,4,1.5,794,1971,2013,157.43,125000
686,802 East St ,2,1.5,1668,1900,2012,74.94,125000
687,2010 Spring St ,3,1.75,1404,1994,2012,89.67,125900
688,1520 Main St ,2,1,1428,1949,2012,89.29,127500
689,1802 9th Ave ,3,1.5,1448,1954,2012,89.09,129000
690,1802 9th Ave ,3,1.5,1448,1954,2012,89.09,129000
691,432 460th Ave ,2,1,1176,1994,2012,110.54,130000
692,507 12th Ave ,3,1.75,1040,1965,2012,126.92,132000
693,9 Oakridge Dr ,3,1.5,1440,1971,2012,92.01,132500
694,929 Elm St ,3,1.5,1286,1900,2012,103.03,132500
695,1808 4th Ave ,3,1.75,1200,1964,2012,111.67,134000
696,925 Reed St ,3,2,2192,1900,2012,61.59,135000
697,1519 10th Ave ,3,2,1158,1959,2012,117.01,135500
698,1822 Belmont St ,3,1.75,1232,1961,2013,110.39,136000
699,524 High St ,4,1.5,2032,1900,2013,67.42,137000
700,812 8th Ave ,3,2,1613,1950,2012,86.79,140000
701,5742 E156th St S ,3,1.75,1284,1966,2012,109.03,140000
702,1204 Reed St ,4,2,1052,1950,2012,134.03,141000
703,1900 6th Ave ,3,1.5,1444,1956,2012,98.34,142000
704,1817 Reed St ,3,2.25,1167,1976,2012,122.54,143000
705,1201 Elm St ,4,1.5,2455,1910,2012,58.66,144000
706,827-829 East St ,4,1.75,2446,1900,2012,60.51,148000
707,3798 60th St ,4,2.5,1472,1974,2012,101.22,149000
708,1921 Spencer St ,3,1.75,1404,1970,2012,106.84,150000
709,1534 7th Ave ,3,1.75,1776,1956,2013,86.43,153500
710,615 14th Avenue ,3,2,1864,1996,2012,83.15,155000
711,1816 Sunset ,4,2,1112,1971,2012,140.29,156000
712,1810 Manor Dr ,0,0,0,1965,2012,0,157500
713,2035 Manor Cir ,2,1.75,1994,1972,2012,93.28,186000
714,1711 Prairie St ,4,3,1757,1969,2012,108.14,190000
715,1815 Manor Dr ,4,2.75,2267,1968,2012,84.47,191500
716,2010 Country Club Dr ,3,1.75,1234,1962,2012,158.02,195000
717,1503 Broad St ,4,1.5,2981,1906,2012,65.75,196000
718,97 Fore Seasons Dr ,3,3.5,2962,1996,2012,66.85,198000
719,1204 3rd Ave ,4,2.75,2840,1900,2012,75.7,215000
720,1408 Michael Ave ,4,2.75,1623,2001,2012,135.55,220000
721,4221 Porter Addition ,4,2.75,2188,1974,2012,103.06,225500
722,4216 Porter Addition ,4,2.75,2080,1975,2012,109.13,227000
723,1713 Country Club Drive,3,2.25,2231,1958,2012,120.98,269900
724,1425 Patricia Ave ,4,3,1490,2005,2013,181.21,270000
725,408 16th Ave ,3,3.5,2399,1989,2012,116.72,280000
726,1940 Prairie St ,6,3,2340,2004,2012,130.34,305000
727,2001 Reed St ,5,3,2243,2000,2012,147.12,330000
728,1923 Reed Street ,4,3,2330,1999,2012,167.38,390000
729,4259 20th St ,4,3,3922,1991,2012,108.36,425000
730,209 16th Avenue ,5,4.5,5421,2009,2012,110.68,600000
731,1104 3rd ,4,1,1802,1900,2014,13.82,24900
732,1432 Davis Ave ,2,1,919,1955,2013,27.2,25000
733,307 4th ,4,2,1934,1900,2013,15.51,30000
734,1713 7th Ave ,3,1,1691,1900,2013,19.52,33000
735,1120 Spring ,2,1,768,1900,2014,45.77,35151
736,1419 3rd Ave ,3,1.75,1406,1900,2013,26.32,37000
737,417 4th ,5,2,1622,1900,2014,24.66,40000
738,510 3rd Ave ,2,1,955,1900,2013,49.48,47250
739,120 3rd Ave W ,2,1,1196,1900,2013,41.81,50000
740,210 6th Ave ,3,1.5,1116,1974,2013,46.59,52000
741,300 Park St ,6,1,1374,1900,2013,37.85,52000
742,2005 Spring St #306 ,1,1,730,1982,2013,75.34,55000
743,721 Center St ,3,1,928,1900,2014,62.5,58000
744,1623 3rd ,4,2,1576,1900,2014,38.07,60000
745,417 Park St ,2,1,978,1900,2013,64.42,63000
746,511 Broad St ,3,1.25,1745,1900,2013,38.97,68000
747,1530 Prairie St ,2,1,816,1956,2013,83.95,68500
748,1517 Summer St ,2,1,1020,1950,2013,67.89,69250
749,8 Washington Place ,2,1.75,0,1988,2013,0,69900
750,1201 East St.. Ln ,3,1,1374,1900,2013,50.95,70000
751,1110 Hamilton Ave ,2,2,1530,1900,2013,45.75,70000
752,819 Prince St ,2,1,892,1900,2013,79.93,71300
753,1630 3rd Ave ,3,1,1040,1966,2013,69.23,72000
754,623 State St ,3,1,919,1973,2013,81.61,75000
755,1612 7th Ave ,2,1,884,1900,2013,88.24,78000
756,1517 Prairie St ,2,1,856,1961,2013,95.79,82000
757,711 Pearl St ,3,1.5,1296,1900,2013,64.04,83000
758,827 Prince ,3,1.5,1248,1900,2014,69.71,87000
759,416 West St ,3,2,1506,1920,2013,59.1,89000
760,617 Center St ,2,1,900,1963,2013,100,90000
761,710 Elm St ,3,1,0,1965,2013,0,91000
762,3264 HWY 63 ,3,1,1042,1942,2013,91.17,95000
763,1122 Ann Street ,3,2,1502,1900,2013,65.25,98000
764,531 East St ,3,1.25,1008,1959,2013,101.19,102000
765,1136 Summer St ,3,1,1209,1900,2013,84.37,102000
766,719 7th Ave ,2,1,1108,1956,2013,94.77,105000
767,1521 Penrose St ,4,1.5,1728,1975,2013,63.66,110000
768,1518 10th Ave ,3,1.75,1488,1967,2013,74.26,110500
769,1401 Prairie Street ,4,1.75,1764,1955,2013,63.78,112500
770,1810 9th Ave ,3,1.5,1638,1975,2013,70.21,115000
771,1124 Ann St ,3,1.75,1880,1900,2013,62.23,117000
772,1512 4th Ave ,3,1.5,1794,1900,2013,65.22,117000
773,1603 9th Ave ,3,1.75,1088,1955,2013,109.38,119000
774,523 Broad St ,4,2,2215,1900,2014,54.18,120000
775,1134 Spencer St ,3,1.75,1752,1900,2013,68.78,120500
776,711 16th Avenue #306 ,1,1,1172,2004,2013,103.67,121500
777,1415 11th Ave ,3,1,1154,1956,2013,106.59,123000
778,1317 5th Ave ,4,1.75,1548,1923,2013,80.75,125000
779,3525 40th St ,4,1.5,1903,1900,2013,65.69,125000
780,926 Prairie St ,4,1.75,1440,1966,2013,86.81,125000
781,1121 Main St ,4,3,3766,1900,2013,33.19,125000
782,519 Broad St ,4,1,1992,1900,2013,64.26,128000
783,1410 4th Ave ,4,1.5,1904,1900,2014,70.9,135000
784,1410 4th Ave ,4,1.5,1904,1900,2014,70.9,135000
785,824 High St ,5,2,2451,1900,2014,55.08,135000
786,3237 35th St ,4,2,2122,1900,2013,65.5,139000
787,1812 West St ,5,1.75,1192,1979,2013,118.29,141000
788,1525 7th Ave ,4,1.75,1804,1900,2013,80.38,145000
789,65 Fore Seasons Drive ,2,1.75,1176,1979,2013,125.6,147700
790,1620 Broad St ,2,2.5,1486,1950,2013,99.53,147900
791,1702 Country Club Dr ,3,2,1516,1950,2013,102.9,156000
792,1327 Summer Street ,4,1.5,1794,1917,2013,90.16,161750
793,671 400th Ave ,4,1.5,2010,1910,2013,84.58,170000
794,33 Eagle Dr ,4,3.5,1868,1996,2014,93.15,174000
795,490 450th Ave ,3,2,1464,1963,2014,118.85,174000
796,1426 Elm St. ,4,2.5,2092,1946,2013,83.65,175000
797,472 Ewart Rd ,3,2,1568,1987,2013,111.61,175000
798,1321 Michael Ave ,3,2.5,2244,2000,2013,80.21,180000
799,721 12th Ave ,3,2,2212,1954,2013,81.37,180000
800,1800 Manor Dr ,5,1.5,2384,1961,2013,75.5,180000
801,103 Broad St ,3,2.5,1400,1995,2013,130.71,183000
802,1810 Stoecker St ,5,2.75,1810,1969,2013,102.21,185000
803,1603 Prairie St ,5,2.5,1968,1968,2014,94,185000
804,1710 Country Club Dr ,3,1.5,1797,1955,2013,104.62,188000
805,4189 60th St ,4,1.5,1764,1900,2013,107.43,189500
806,1815 Manor Dr ,4,2.75,2365,1968,2013,80.97,191500
807,8 Valley View Dr ,4,1.75,1464,1972,2013,136.61,200000
808,1717 4th Ave ,4,2,2044,1915,2014,100.29,205000
809,1840 Reed St ,4,1.75,1504,1975,2013,140.96,212000
810,1824 Manor Dr ,3,3.5,2063,1987,2014,106.64,220000
811,1329 Michael ,5,3,1485,2001,2013,150.17,223000
812,81 Fore Seasons Dr ,3,2.75,1332,1986,2013,167.42,223000
813,1810 Sunset St ,3,2.75,1824,1970,2013,123.36,225000
814,120 Broad St S ,4,2,1540,2003,2013,148.05,228000
815,521 430th Ave ,6,1.5,1952,1900,2013,117.83,230000
816,1400 Michael ,3,2.5,1650,2001,2014,143.03,236000
817,155 380th Ave ,4,3,1548,1999,2013,158.91,246000
818,1902 Spring St ,4,3,2856,1997,2013,87.54,250000
819,1404 Broad St ,4,2.5,3254,1901,2014,79.9,260000
820,2003 Spring St ,3,2.75,1910,1996,2013,142.93,273000
821,803 10th Ave ,4,2.5,2478,1917,2013,117.03,290000
822,9 Fore Seasons Dr ,3,3,3395,2005,2013,88.37,300000
823,3774 20th St ,4,3,0,1995,2013,0,325000
824,317 Bailey St S ,5,2.75,3351,2006,2014,99.97,335000
825,1601 Michael ,3,4,4091,2004,2013,83.11,340000
826,1940 Reed St ,4,3,1932,2006,2013,175.98,340000
827,2007 Reed St ,0,0,0,2000,2013,0,381667
828,191 385th Ave ,3,3.5,2604,1999,2014,153.57,399900
829,1606 E 142 St S ,4,3,2340,2007,2013,170.94,400000
830,1527 Broad St ,4,3.5,6815,1918,2013,66.32,452000
831,515 6th Ave ,3,2,0,1900,2014,0,14200
832,521 8th ,3,1,1338,1900,2014,13.08,17500
833,1230 142nd St ,0,0,0,1900,2014,0,20000
834,1405 Prince St ,3,1.5,1094,1900,2015,18.28,20000
835,503 East St ,3,2,1904,1900,2014,12.84,24450
836,1803 6 Ave ,4,0,1736,1900,2014,19.01,33000
837,1605 4th Ave ,3,1,1728,1960,2015,20.25,35000
838,921 Pearl St ,4,1.75,1165,1900,2014,32.19,37500
839,1607 3rd Ave ,2,1,825,1972,2014,51.52,42500
840,1221 West St ,5,4,2663,1910,2014,16.9,45000
841,1228 Reed St ,5,1,1469,1952,2014,33.02,48500
842,918 Center St ,4,1,1722,1900,2014,29.04,50000
843,1226 Broad St ,3,1.75,2547,1895,2014,19.63,50000
844,903 Pearl St ,4,1.5,1396,1900,2014,42.98,60000
845,15148 Hwy F-17 E ,4,1,1456,1920,2014,42.93,62500
846,1114 Prairie St ,2,1,720,1959,2014,88.89,64000
847,415 4th Ave ,4,2,1656,1900,2014,39.25,65000
848,13127 E Hwy 6 Rd ,1,3,1156,1952,2014,56.23,65000
849,1120 Spring ,2,1,768,1900,2014,91.15,70000
850,603 Reed St ,2,1,1040,1900,2014,72.12,75000
851,1005 Center St ,3,1,1152,1900,2014,67.27,77500
852,413 320th Ave ,3,1.75,1152,1988,2015,67.27,77500
853,530 Hamilton Ave ,3,1.5,1312,1973,2015,59.45,78000
854,608 High St ,3,1.5,1522,1900,2015,51.91,79000
855,4 Washington Place ,4,1.5,810,1983,2014,104.94,85000
856,305 2nd Ave ,3,1,912,1957,2014,93.2,85000
857,1515 Summer ,3,1.75,1399,1948,2015,60.76,85000
858,3320 Hwy 63 ,3,2,1856,1920,2014,47.41,88000
859,430 1st Ave. W ,0,1.75,1152,1969,2014,78.13,90000
860,114 Broad St ,3,1.75,1056,1980,2015,85.23,90000
861,629 High St ,2,1,1052,1900,2014,87.93,92500
862,113 East St ,2,1,900,1963,2015,103.33,93000
863,1014 Fairfield St ,3,1,1104,1972,2014,84.24,93000
